,REVISED 7/16/18,,,,,,,,,,,,,,,,,,
,SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,
,"APRIL 24 - 27, 2018",,,,,,,,,,,,,,,,,,
Hip#,Name,Color,Sex,M,D,YR,Sire,Dam,Dam Sire,Consignor,State,Barn,Work Time,set,day,Buyer ,Price ,PS,Consignsort
1,,B,F,2,28,16,Speightstown,Abatis,Aptitude,"Brick City Thoroughbreds, Agent",KY,3,10.3,112,4/16,"Gayle Van Leer, Agent","45,000",PS,BrickCityT
2,,B,C,4,8,16,Uncle Mo,Above Heaven,Mr. Greeley,"RiceHorse Stable (Brandon & Ali Rice), Agent XXIII",KY,17,10.3,35,4/16,"145,000",Not Sold,,RiceHorseS
3,,B,F,5,5,16,Tapizar,Acacia,Cherokee Run,"Omega Farm, Agent",KY,6,10.2,111,4/16,Bradley Thoroughbreds,"40,000",PS,OmegaFarmA
4,,GR/RO,F,2,29,16,Goldencents,Adore You,Tactical Cat,Imagine...,IN,1,out,,,Withdrawn,Out,,Imagine
5,,DB/BR,F,3,21,16,The Factor,Afleet Lexi,Afleet Alex,"King's Equine, Agent I",KY,2,10.4,9,4/16,"Vicente Portaro, Agent","16,000",PS,KingsEquin
6,,B,C,3,22,16,Goldencents,A Jealous Woman,Muqtarib,"Scanlon Training & Sales, Agent VIII",KY,2,10.3,141,4/16,"J. Stevens Bloodstock, Agent","150,000",,ScanlonTra
7,,CH,F,5,5,16,Shackleford,A J's Honey,Indian Charlie,"Grassroots Training & Sales LLC, Agent I",KY,J,10.2,7,4/16,Three Diamonds Farm,"155,000",,Grassroots
8,Albany Fleet,CH,C,2,1,16,Northern Afleet,Albany Park,Empire Maker,"Top Line Sales LLC, Agent XXXII",FL,14,10.3,133,4/16,"13,000",Not Sold,,TopLineSal
9,Caterina One,CH,F,4,3,16,Munnings,Alfreda,Strong Contender,"Hidden Brook, Agent VII",KY,2,out,,,Withdrawn,Out,,HiddenBroo
10,,B,C,5,4,16,Astrology,A Little Off,Deputy Commander,"Top Line Sales LLC, Agent XXX",KY,14,22.0,96,4/16,PWF,"21,000",,TopLineSal
11,,CH,F,5,26,16,Central Banker,All Bronze,Desert Warrior,"New Hope LLC, Agent I",NY,16,22.3,91,4/16,"24,000",Not Sold,,NewHopeLLC
12,,B,C,1,25,16,Oxbow,All Sevens,A.P. Indy,"Kim Harrrison (Top Speed Farm), Agent I",KY,E,out,,,Withdrawn,Out,,HarrrisonT
13,,CH,F,2,16,16,Cross Traffic,Alluvial Gold (IRE),Danehill Dancer (IRE),"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXI",KY,5,10.3,101,4/16,Norm Tremblay,"40,000",,WavertreeS
14,,DB/BR,C,3,29,16,Itsmyluckyday,Almost Aprom Queen,Montbrook,Ocala Stud,FL,4,out,,,Withdrawn,Out,,OcalaStud
15,,B,F,4,25,16,Adios Charlie,Almost a Valentine,High Cotton,Ocala Stud,FL,4,21.3,134,4/16,"Mike Ryan, Agent","80,000",,OcalaStud
16,,B,F,5,21,16,Uncaptured,Alotofappeal,Trippi,Ocala Stud,FL,4,out,,,Withdrawn,Out,,OcalaStud
17,,B,F,3,9,16,Revolutionary,Alpha Charlie,Eddington,"Niall Brennan Stables, Agent",NY,8,10.3,99,4/16,Gary Contessa Agt for Pines Stable,"40,000",PS,BrennanSta
18,,DB/BR,C,5,8,16,Scat Daddy,Alpha Mama,Unbridled's Song,"Wavertree Stables, Inc. (Ciaran Dunne), Agent II",KY,5,22.3,79,4/16,"80,000",Not Sold,,WavertreeS
19,,B,C,5,5,16,Twirling Candy,Always Ready,Dixieland Band,"Randy Miles, Agent II",KY,18,10.4,166,4/16,S.R.O.A. (K.O.I.D.),"55,000",,MilesAgent
20,,DB/BR,C,2,5,16,Magician (IRE),Alyssa's Dream,Wiseman's Ferry,"Scanlon Training & Sales, Agent IX",KY,2,10.3,39,4/16,"32,000",Not Sold,,ScanlonTra
21,,CH,F,2,27,16,Exchange Rate,Amaretta's Way,Giant's Causeway,"Flying Fish, Agent III",KY,E,10.4,75,4/16,"37,000",Not Sold,,FlyingFish
22,,B,F,2,21,16,Twirling Candy,American River,Forty Niner,"Eddie Woods, Agent IX",KY,11,10.3,168,4/16,Leandro Moreno,"5,000",,WoodsAgent
23,,DB/BR,F,3,17,16,Arch,American Skipper,Quiet American,"Off the Hook LLC, Agent VI",FL,13,10.2,32,4/16,"Steven W. Young, Agent","475,000",,OfftheHook
24,My Cotton Candy,DB/BR,F,2,9,16,Hard Spun,American Sugar,Harlan's Holiday,"Stephens Thoroughbreds LLC, Agent IV",KY,H,out,,,Withdrawn,Out,,StephensTh
25,,B,F,3,6,16,Fed Biz,America's Blossom,Quiet American,"de Meric Sales, Agent II",KY,12,out,,,Withdrawn,Out,,deMericSal
26,,B,C,4,4,16,Goldencents,Angels Trace,Bellamy Road,"Woodside Ranch, Agent I",KY,1,10.1,17,4/16,"SGV, Agent for Bona Venture Stables LLC","100,000",,WoodsideRa
27,,DB/BR,F,3,30,16,Sky Mesa,Annaclone,Flatter,Golden Rock Thoroughbreds,KY,G,10.2,78,4/16,Michael D Lofino,"50,000",,GoldenRock
28,,B,F,2,23,16,Tapizar,Anna Mia,Unbridled's Song,"Woodside Ranch, Agent VI",KY,1,10.3,53,4/16,Rohan Crichton,"12,000",PS,WoodsideRa
29,,CH,F,2,15,16,Mizzen Mast,Annatlantic,Stormy Atlantic,"Top Line Sales LLC, Agent XXIV",KY,14,10.4,147,4/16,Donald Hoover,"5,000",,TopLineSal
30,,GR/RO,F,4,22,16,The Factor,Another Romance,Saint Anddan,"Eddie Woods, Agent XXXII",KY,11,21.1,1,4/16,Stonestreet Stables LLC,"250,000",,WoodsAgent
31,,CH,C,3,28,16,Kitten's Joy,Anura (IRE),Giant's Causeway,"Tom McCrocklin, Agent VIII",KY,19,22.4,40,4/16,Kelly Breen for Harriet Sawyer,"100,000",,McCrocklin
32,,CH,C,2,23,16,Curlin,Apache Plume,Storm Cat,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY,5,11.2,165,4/16,Henry Collazo,"12,000",PS,WavertreeS
33,,DB/BR,C,3,26,16,Temple City,A. P. Andie,Star de Naskra,Thoroughbred Champions Training Center LLC,KY,20,21.4,93,4/16,Bob Grayson,"65,000",,Thoroughbr
34,,CH,F,1,29,16,Curlin,A. P. Elegance,A.P. Indy,All Dreams Equine,KY,20,11.0,42,4/16,Oracle Bloodstock Agent for Morris Bailey,"80,000",,AllDreamsE
35,,CH,C,2,27,16,Trappe Shot,A. P. Indy Lover,Pure Prize,"Tom McCrocklin, Agent V",KY,19,22.0,152,4/16,Withdrawn,Out,,McCrocklin
36,,CH,F,3,9,16,Goldencents,Apple Pie Baby,Not For Love,"Cary Frommer LLC, Agent II",MD,9,10.3,95,4/16,"Over The Moon LLC, Agent Michael Mellen","55,000",,FrommerLLC
37,,B,C,4,7,16,Yes It's True,A Prettydixie,Dixie Union,"King's Equine, Agent IX",KY,2,10.2,44,4/16,"Xavier International Bloodstock, Agent","320,000",,KingsEquin
38,,B,F,4,26,16,Fed Biz,Aprisa Luna,Malibu Moon,"King's Equine, Agent XII",KY,2,10.3,138,4/16,"Gary Contessa, Agent","45,000",,KingsEquin
39,,B,F,2,21,16,Cairo Prince,A. P. Surprise,Pulpit,"Hoppel's Horse & Cattle Co., Inc., Agent",KY,A,10.4,87,4/16,"Tim Kegel, Agent","72,000",,HoppelsHor
40,,B,F,3,22,16,Gemologist,Aquifolia,Smarty Jones,"Paraizo Victoria Farm, Agent I",FL,20,out,,,Withdrawn,Out,,ParaizoVic
41,,B,C,2,7,16,Soldat,Ardara,Arch,"Woodford Thoroughbreds, Agent",FL,17,10.2,20,4/16,"65,000",Not Sold,,WoodfordTh
42,,GR/RO,F,2,14,16,Alternation,Are You Kidding,Demaloot Demashoot,"Southern Chase Farm, Inc. (Greg & Karen Dodd), Agent",KY,7,10.3,123,4/16,"37,000",Not Sold,,SouthernCh
43,,B,F,3,10,16,Quality Road,Argue,Storm Cat,"Eddie Woods, Agent XXXII",KY,11,21.2,139,4/16,"95,000",Not Sold,,WoodsAgent
44,Big Purr,CH,C,4,21,16,Giant's Causeway,Artemus Kitten,Kitten's Joy,"Woodford Thoroughbreds, Agent",KY,17,out,,,Withdrawn,Out,,WoodfordTh
45,,B,C,2,6,16,Paynter,Ashlee's Lady,Gilded Time,"Wavertree Stables, Inc. (Ciaran Dunne), Agent III",FL,5,21.4,6,4/16,Raymond Rech,"45,000",,WavertreeS
46,,B,C,3,10,16,Malibu Moon,Asian Empress,Empire Maker,"Grassroots Training & Sales LLC, Agent I",KY,J,10.4,37,4/16,Winchell Thoroughbreds LLC,"100,000",,Grassroots
47,,CH,F,3,31,16,Verrazano,As Promised,Century City (IRE),"Eisaman Equine, Agent",NY,7,11.1,124,4/16,Larry F. Allen,"8,000",,EisamanEqu
48,,B,C,2,22,16,Poseidon's Warrior,Astrid,Concern,"Hemingway Racing and Training Stables LLC, Agent II",FL,16,out,,,Withdrawn,Out,,HemingwayR
49,,B,F,2,29,16,Yes It's True,Atka,Swiss Yodeler,"Stephens Thoroughbreds LLC, Agent IV",FL,H,10.4,68,4/16,"65,000",Not Sold,,StephensTh
50,,DB/BR,C,3,25,16,Shanghai Bobby,At Risk,Dixie Union,"Hartley/DeRenzo Thoroughbreds LLC, Agent",KY,5,10.2,92,4/16,Majed Almorzooqi,"60,000",,Hartley/De
51,,B,F,5,8,16,Super Saver,Audacious Chloe,More Than Ready,"Woodford Thoroughbreds, Agent",KY,17,11.0,56,4/16,"Aubrey Maragh, Agent","30,000",,WoodfordTh
52,,DB/BR,C,3,20,16,Union Rags,Auspiciously,Malibu Moon,"Eddie Woods, Agent XLVI",KY,11,10.3,157,4/16,Withdrawn,Out,,WoodsAgent
53,,CH,C,2,20,16,Will Take Charge,Authenicat,D'wildcat,"Top Line Sales LLC, Agent I",KY,14,out,,,Withdrawn,Out,,TopLineSal
54,,B,C,3,28,16,Run Away and Hide,Autumn Gold,Smart Strike,"Stephens Thoroughbreds LLC, Agent I",KY,H,10.4,116,4/16,"L.E.B., Agent for West Point Thoroughbreds, Inc.","80,000",,StephensTh
55,,B,C,5,5,16,Northern Afleet,Autumn Memories,Salt Lake,"Pick View LLC, Agent VII",KY,14,22.0,31,4/16,"37,000",Not Sold,,PickViewLL
56,,CH,F,1,24,16,Noble Mission (GB),Avaricity,Carson City,"Tom McCrocklin, Agent VIII",KY,19,out,,,Withdrawn,Out,,McCrocklin
57,,B,C,2,12,16,Munnings,Ava's Playful Run,Doneraile Court,"Harris Training Center LLC, Agent XII",KY,13,out,,,Withdrawn,Out,,HarrisTrai
58,,DB/BR,F,2,10,16,Strong Mandate,Awe Hush,Awesome Again,"Hendry Training Stables LLC, Agent II",KY,17,11.1,88,4/16,Withdrawn,Out,,HendryTrai
59,,B,C,2,15,16,Majesticperfection,Awesome Lass,Awesome Again,"Southern Chase Farm, Inc. (Greg & Karen Dodd), Agent",ON,7,out,,,Withdrawn,Out,,SouthernCh
60,,B,C,5,4,16,Bernardini,Awesome Lassie,Awesome Again,"Woodside Ranch, Agent VI",KY,1,11.0,103,4/16,"Gayle Van Leer, Agent","60,000",,WoodsideRa
61,,CH,C,4,14,16,City Zip,Awesome Rose,Awesome Again,"Randy Miles, Agent V",IA,18,10.3,113,4/16,"120,000",Not Sold,,MilesAgent
62,,CH,F,5,1,16,Gio Ponti,Ayla Bella,Touch Gold,"de Meric Sales, Agent IX",KY,12,out,,,Withdrawn,Out,,deMericSal
63,Yesterday's Girl,CH,F,4,23,16,Mucho Macho Man,Ayres Hall,Jade Hunter,"RiceHorse Stable (Brandon & Ali Rice), Agent XIV",OK,17,10.4,149,4/16,Withdrawn,Out,,RiceHorseS
64,Aztec Jersey,DB/BR,C,3,23,16,Jersey Town,Aztec Pearl,A.P. Indy,"McKathan Bros., Agent III",KY,6,10.2,51,4/16,Eddie Kenneally. Agent,"55,000",PS,McKathanBr
65,Little Boy Flash,GR/RO,G,4,21,16,Flashback,Azucaa,Future Storm,"Jimmy Miranda, Agent I",NY,2,11.0,89,4/16,S.R.O.A. (K.O.I.D.),"30,000",,MirandaAge
66,,B,F,4,8,16,Bodemeister,Baby Bird,Cape Town,"Eisaman Equine, Agent",KY,7,10.4,36,4/16,"Denholtz Stables, LLC","55,000",,EisamanEqu
67,,B,C,3,13,16,Alpha,Back in the Shade,Put It Back,"Sequel Bloodstock, Agent",NY,9,11.0,140,4/16,"David Meah,Agent for Team D,Circle B & John Holmes","120,000",,SequelBloo
68,,GR/RO,F,3,20,16,Scat Daddy,Back to Basics,Alphabet Soup,Ocala Stud,FL,4,22.1,55,4/16,"Steven W. Young, Agent","170,000",,OcalaStud
69,,B,C,2,29,16,Tiz Wonderful,Badasae,Any Given Saturday,"de Meric Sales, Agent VI",KOR,12,11.0,84,4/16,Kim Valerio Agent for Michael Dubb,"63,000",,deMericSal
70,Vacation Travel,CH,F,4,16,16,More Than Ready,Bahama Bound,Empire Maker,"Niall Brennan Stables, Agent I",KY,8,10.4,163,4/16,Timothy L. Keefe Agt for Richard J. Meyer,"20,000",PS,BrennanSta
71,Kitten's Bond,B,F,2,28,16,Kitten's Joy,Bail Me Out,Survivalist,"Woodford Thoroughbreds, Agent",KY,17,11.0,162,4/16,Korea Bloodstock,"20,000",,WoodfordTh
72,,DB/BR,C,2,16,16,Munnings,Balansense,Street Sense,Q Bar J Thoroughbreds LLC,KY,14,10.4,160,4/16,"Triple Crown (Park, Hyung In)","35,000",,QBarJThoro
73,,DB/BR,F,3,12,16,Bodemeister,Bally Storm,Summer Squall,"Woodford Thoroughbreds, Agent",KY,17,out,,,Withdrawn,Out,,WoodfordTh
74,,B,C,2,25,16,Flatter,Banded,Bandini,"Eddie Woods, Agent III",KY,11,22.0,26,4/16,S G S Racing,"40,000",PS,WoodsAgent
75,,B,C,4,18,16,Fed Biz,Bares Tripper,Sky Mesa,"SBM Training and Sales, Agent IV",KY,15,10.2,156,4/16,"130,000",Not Sold,,SBMTrainin
76,,CH,C,4,30,16,Justin Phillip,Baroness Aamoura,Theatrical (IRE),"McKathan Bros., Agent I",KY,6,22.1,11,4/16,Withdrawn,Out,,McKathanBr
77,,CH,F,3,31,16,Super Saver,Batalha,Smart Strike,"Envision Equine, Agent III",KY,D,22.0,12,4/16,Solis / Litt,"200,000",,EnvisionEq
78,,DB/BR,C,1,25,16,Itsmyluckyday,Battle Creek Lady,Cowtown Cat,"Eisaman Equine, Agent",FL,7,10.3,64,4/16,S.R.O.A. (K.O.I.D.),"30,000",,EisamanEqu
79,,CH,C,3,30,16,Bustin Stones,Beam of Love,Prime Timber,"Eisaman Equine, Agent",NY,7,10.3,8,4/16,"Gary Contessa, Agent for Waldorf Farm","80,000",,EisamanEqu
80,,CH,F,3,29,16,Strong Mandate,Bearursa,Precise End,"Eddie Woods, Agent XXXI",KY,11,out,,,Withdrawn,Out,,WoodsAgent
81,,CH,C,5,1,16,Jimmy Creed,Bear West,Gone West,Q Bar J Thoroughbreds LLC,OH,14,10.4,24,4/16,"Triple Crown (Jin, Kyo Won)","45,000",,QBarJThoro
82,,DB/BR,F,4,28,16,Cairo Prince,Beastlie Moon,Three Wonders,"Cutting Edge Equine, Agent I",KY,G,11.0,73,4/16,Joel Politi,"52,000",,CuttingEdg
83,,DB/BR,C,4,29,16,Midnight Lute,Beautiful Greeley,Mr. Greeley,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",KY,5,22.2,146,4/16,"35,000",Not Sold,,WavertreeS
84,,DB/BR,C,2,9,16,Flat Out,Beautiful Stranger,Foxhound,"SBM Training and Sales, Agent IV",KY,15,10.4,23,4/16,"Lewis Mathews, Jr.","22,000",,SBMTrainin
85,,B,C,3,24,16,Mucho Macho Man,Becker County Miss,Langfuhr,"SGV Thoroughbreds LLC (Steven Venosa), Agent",OK,1,10.3,125,4/16,Alrashid USA Group,"105,000",,SbnGVThoro
86,,B,C,5,23,16,Majestic Warrior,Behaving,Rubiano,"Halcyon Hammock Farm, Agent III",KY,1,11.0,151,4/16,K.O.I.D. Thomas Gillespie,"32,000",,HalcyonHam
87,,B,C,4,11,16,Custom for Carlos,Bella Moneta,Max's Pal,"Off the Hook LLC, Agent IV",LA,13,10.0,,4/17,East Hickman Bloodstock,"50,000",,OfftheHook
88,Notte Oscura,B,C,3,18,16,Astrology,Bella Notte,Quick Cut,"Pick View LLC, Agent VII",MN,14,21.4,145,4/16,"Mike Ryan, Agent","160,000",,PickViewLL
89,,GR/RO,C,3,15,16,Mineshaft,Bella Silver,Silver Deputy,"Classic Bloodstock LLC, Agent III",NY,17,11.0,52,4/16,Withdrawn,Out,,ClassicBlo
90,Bellize,B,F,4,19,16,Noble Mission (GB),Belleski,Polish Numbers,"de Meric Sales, Agent XL",KY,12,10.3,28,4/16,Lane's End Bloodstock,"160,000",,deMericSal
91,,CH,C,4,5,16,Goldencents,Bellezza Rosso,Tapit,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XXXV",KY,5,22.2,121,4/16,"47,000",Not Sold,,WavertreeS
92,,CH,F,5,9,16,Fed Biz,Be Smart,Smarty Jones,"Eddie Woods, Agent LX",KY,11,21.2,62,4/16,Reddam Racing LLC,"200,000",,WoodsAgent
93,,DB/BR,C,3,7,16,Congrats,Best of the Sea,Lord of the Sea,Thoroughbred Champions Training Center LLC,KY,20,22.4,27,4/16,Cristian D. Pena,"22,000",,Thoroughbr
94,,B,C,3,30,16,Into Mischief,Better Than Most,Elusive Quality,"Benchmark Training Center, Inc., Agent I",KY,9,10.2,49,4/16,"540,000",Not Sold,,BenchmarkT
95,,DB/BR,F,4,30,16,Quality Road,Betty Brite,Medaglia d'Oro,"Eddie Woods, Agent IX",KY,11,22.0,41,4/16,Frank Fletcher Racing,"800,000",,WoodsAgent
96,,B,C,3,3,16,Shackleford,Be With Me,Corinthian,"Robert Brewer, Agent",KY,A,10.2,59,4/16,"Oracle Bloodstock,Agent for Hill,Corms & Flying P","170,000",,BrewerAgen
97,,B,C,4,17,16,Twirling Candy,Beyond Price,King of Kings (IRE),"Richardson Bloodstock, Agent",KY,3,10.3,122,4/16,"12,000",Not Sold,,Richardson
98,,DB/BR,C,4,25,16,The Factor,Beyond the Reach,Sahm,"Eddie Woods, Agent LXIII",OK,11,21.2,105,4/16,Ballybrit Stable LLC / Alan Lustig,"4,000",,WoodsAgent
99,,GR/RO,C,3,24,16,Cairo Prince,Big Happy Blur,Dixieland Band,"Randy Miles, Agent IX",KY,18,10.2,46,4/16,"Manganaro Bloodstock, Inc.","150,000",,MilesAgent
