,REVISED 9/10/20,,,,,,,,,,,,,,,,,,,
OBS SPRING SALE OF TWO-YEAR-OLDS IN TRAINING,,,,,,,,,,,,,,,,,,,,
"JUNE 9 - 12, 2020",,,,,,,,,,,,,,,,,,,,
hip#,Name,Color,Sex,Foal Date,Sire,Dam,Dam Sire,Sort By Dam,Consignor,Area ID,Barn,work time,set,day,Buyer ,Price ,PS,Status,Out Date,AlphSort
1,Wolfbane,B,F,4/16/2018,Union Rags,Kadira,Kafwain,Kadira,"Eddie Woods, Agent LX",PA,11,out,,,Withdrawn,Out,,Out,5/27/2020,Woods Eddie
2,,CH,C,3/24/2018,Not This Time,Karen's Silk,High Cotton,KarensSilk,"Gene Recio, Agent IX",KY,17,10.1,33,5/31,"L.E.B., Agent for West Point Thoroughbreds, Inc.","200,000",,,,Recio Gene
3,Canelita,DB/BR,F,2/16/2018,In Summation,Kat of Kilkenny,Even the Score,KatofKilkenny,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",FL,5,out,,,Withdrawn,Out,,Out,6/9/2020,"Wavertree Stables, Inc."
4,,B,C,5/18/2018,Constitution,Kayce Lu,Lonhro (AUS),KayceLu,"Gene Recio, Agent II",KY,17,out,,,Withdrawn,Out,,Out,5/18/2020,Recio Gene
5,,CH,F,3/11/2018,Maclean's Music,Keiai Tokyo,Medaglia d'Oro,KeiaiTokyo,"Off the Hook LLC, Agent VIII",PA,13,out,,,Withdrawn,Out,,Out,4/20/2020,Off the Hook LLC
6,,CH,F,5/9/2018,Exaggerator,Kencho,Fusaichi Pegasus,Kencho,"Tom McCrocklin, Agent I",KY,E,out,,,Withdrawn,Out,,Out,6/9/2020,McCrocklin Tom
7,,DB/BR,C,4/27/2018,Candy Ride (ARG),Kenny Lane,Forestry,KennyLane,"Six K's Training & Sales LLC, Agent III",KY,2,21.0,22,5/31,Frank Fletcher Racing Operations,"250,000",,,,Six K's Training & Sales LLC
8,,DB/BR,C,2/14/2018,Justin Phillip,Keri's Snowman,Frosty the Snowman,KerisSnowman,Grassroots Training & Sales LLC,KY,J,10.2,124,5/31,Vina Del Mar Thoroughbreds,"25,000",PS,,,Grassroots Training & Sales LLC
9,,GR/RO,C,4/24/2018,Twirling Candy,Kiamika,With Approval,Kiamika,"Tom McCrocklin, Agent V",CA,E,out,,,Withdrawn,Out,,Out,4/20/2020,McCrocklin Tom
10,,CH,F,3/16/2018,Tapit,Kid Majic,Lemon Drop Kid,KidMajic,"Julie Davies LLC, Agent IX",KY,20,10.2,10,5/31,Gainesway,"150,000",,,,Davies Julie
11,,CH,C,5/11/2018,Speightster,Kids Kooler,First Samurai,KidsKooler,"Hemingway Racing and Training Stables LLC, Agent XVI",KY,16,out,,,Withdrawn,Out,,Out,5/31/2020,Hemingway Racing and Training LLC
12,,CH,C,5/20/2018,Carpe Diem,Kika,Birdstone,Kika,"Randy Miles, Agent I",KY,18,10.2,121,5/31,BSW / Crow,"50,000",PS,,,Miles Randy
13,,B,F,2/7/2018,Carpe Diem,Ki Maniere (IRE),Sadler's Wells,KiManiereIRE,"Gayle Woods, Agent for Eric A. Delvalle",KY,6,33.2,66,5/31,Marc Winston,"90,000",PS,,,Woods Gayle
14,,B,C,4/11/2018,Tonalist,Kitty Kat,Kitten's Joy,KittyKat,"Six K's Training & Sales LLC, Agent XI",KY,2,21.3,90,5/31,"40,000",Not Sold,,,,Six K's Training & Sales LLC
15,,DB/BR,F,4/7/2018,Malibu Moon,Knightwithputnam,Unbridled's Song,Knightwithputnam,"Brick City Thoroughbreds, Agent III",KY,19,out,,,Withdrawn,Out,,Out,5/31/2020,Brick City Thoroughbreds
16,,B,F,3/22/2018,Midshipman,Knoxy,Touch Gold,Knoxy,"Top Line Sales LLC, Agent XXXV",KY,14,10.1,77,5/31,"Kenneth McPeek, Agent","80,000",,,,Top Line Sales
17,,CH,C,3/12/2018,Kantharos,Kombat Lake,Meadowlake,KombatLake,"de Meric Sales, Agent XI",AR,12,21.3,73,5/31,"180,000",Not Sold,,,,de Meric Sales
