hip_number,in_out_status,foaling_year,horse_name,color,sex,foaling_date,sire_name,dam_name,sort_dam,dam_sire,property_line_1,property_line_2,consignor_sort,foaling_area,barn_number,buyer_name,hammer_price,post_sale_indicator,outdate,ut_time,ut_distance,ut_actual_date,ut_group,ut_set,pp_pdf_link
1,I,2022,Speights Out,B,F,04/14/2022,Speightster,Fancy Work,321,Mizzen Mast,Nice and Easy Thoroughbreds,,Nice and Easy Thoroughbreds,KY,G,C.H.P.R.,17000,,,10.1," 1/8",04/07/2024,2,74,
2,I,2022,,CH,F,01/23/2022,Khozan,Fantasy Forest,322,Forestry,"GOP Racing Stable Corp., Agent I",,GOP Racing Stable Corp.,FL,16,RNA,-65000,,,10.1," 1/8",04/07/2024,1,48,
3,O,2022,,B,F,01/24/2022,City of Light,Fascinate,323,Curlin,"Lucan Bloodstock (Karl Keegan), Agent XI",,Lucan Bloodstock (Karl Keegan),KY,18,OUT,,,03/25/2024,,,,,,
4,I,2022,,B,C,04/09/2022,Mr. Money,Fashion Bee,324,Omega Code,"Cortez Racing & Sales, Agent VII",,Cortez Racing & Sales,FL,16,S.R.O.A (KOID),25000,,,10.4," 1/8",04/07/2024,3,117,
5,I,2022,,GR/RO,C,01/24/2022,Malibu Moon,Fashioned Gem,325,Old Fashioned,"S B M Training and Sales, Agent VIII",,S B M Training and Sales,LA,2,Valene Farms,130000,,,10.0," 1/8",04/07/2024,2,95,
6,I,2022,Music Clarifcation,B,F,02/08/2022,Maclean's Music,Fashion Mo,326,Uncle Mo,"Hoppel LLC, Agent I",,Hoppel LLC,KY,7,RNA,-37000,,,10.1," 1/8",04/07/2024,3,129,
7,I,2022,,DB/BR,F,03/26/2022,West Coast,Fashion Show,327,Street Cry (IRE),"Grade One Investments LLC, Agent VII",,Grade One Investments LLC,NY,14,"Alabdullatif Bloodstock, Agent for SBA Racing",55000,,,10.1," 1/8",04/07/2024,2,87,
8,I,2022,,CH,F,04/13/2022,Omaha Beach,Fast and Loose,329,Giant's Causeway,"1880 Bloodstock, Agent, II",,1880 Bloodstock,KY,15,ARION (K.O.I.D),75000,,,10.0," 1/8",04/07/2024,1,17,
9,I,2022,,B,C,03/27/2022,Mr. Money,Fast City,328,Half Ours,"Omar Ramirez Bloodstock, Agent XII",,Omar Ramirez Bloodstock,FL,17,Champion Equine LLC,105000,Y,,20.3," 1/4",04/07/2024,1,22,
10,O,2022,,B,C,04/04/2022,Uncle Mo,Feedback,330,Violence,"Adios Amigos, Agent",,Adios Amigos,KY,14,OUT,,,03/26/2024,,,,,,
11,I,2022,,GR/RO,C,04/01/2022,Hard Spun,Fierce for Sul,331,Speightstown,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IX",,Wavertree Stables,KY,5,"Three Diamond Farm, LLC",30000,Y,,10.1," 1/8",04/07/2024,3,118,
12,I,2022,,B,F,05/04/2022,Omaha Beach,Fifteen Moons,332,Malibu Moon,"de Meric Sales, Agent VII",,de Meric Sales,MD,12,Robert Sierra,12000,,,10.2," 1/8",04/07/2024,2,57,
13,I,2022,,DB/BR,F,05/07/2022,Constitution,Fifty Foot Woman,333,Giant's Causeway,"Majestic, Agent I",,Majestic,KY,13,"Oracle Bloodstock, Agent for Twin Sports Racing LL",50000,,,10.2," 1/8",04/07/2024,2,101,
14,I,2022,,DB/BR,C,02/13/2022,Global Campaign,Fiftyplustip,334,The Factor,"Pick View LLC, Agent X",,Pick View LLC,NY,G,"Alabdullatif Bloodstock, Agent for SBA Racing",55000,,,10.3," 1/8",04/07/2024,3,116,
15,O,2022,,CH,C,04/24/2022,Curlin,Fiftyshadesofhay,335,Pulpit,"de Meric Sales, Agent VIII",,de Meric Sales,KY,12,OUT,,,04/08/2024,,,,,,
16,I,2022,,DB/BR,F,04/27/2022,Good Magic,Final Mesa,336,Sky Mesa,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",,Hartley / DeRenzo Thoroughbreds LLC,KY,5,"Speedway Stables, LLC",300000,,,10.0," 1/8",04/07/2024,1,30,
17,O,2022,,B,F,04/09/2022,Bolt d'Oro,Final Reward,337,Arch,"de Meric Sales, Agent II",,de Meric Sales,KY,12,OUT,,,04/07/2024,,,,,,
18,I,2022,Executor,DB/BR,C,05/04/2022,War of Will,Financial Recovery,338,Street Cry (IRE),"Davis Breaking and Training, Inc., Agent II",,Davis Breaking and Training  Inc.,KY,8,RNA,-120000,,,10.3," 1/8",04/07/2024,2,55,
19,O,2022,,GR/RO,C,05/13/2022,Volatile,First Charmer,339,Smart Strike,"White Lilac (Katie Miranda), Agent I",,White Lilac (Katie Miranda),NY,17,OUT,,,04/01/2024,,,,,,
20,O,2022,,CH,C,05/01/2022,Brody's Cause,Fishers Island,340,Lemon Drop Kid,"First Call, Agent",,First Call,KY,15,OUT,,,04/01/2024,,,,,,
21,O,2022,,B,F,03/21/2022,Ghostzapper,Flashpackinbarbie,341,Munnings,"Eddie Woods, Agent XXXIII",,Eddie Woods,KY,11,OUT,,,04/01/2024,,,,,,
22,I,2022,,DB/BR,C,02/20/2022,Not This Time,Flashy American,342,Flashy Bull,"de Meric Sales, Agent XLI",,de Meric Sales,FL,12,"Blake Kelly, Agent",37000,,,10.4," 1/8",04/07/2024,2,102,
23,I,2022,,GR/RO,F,03/13/2022,Gift Box,Flatter Me First,343,Flatter,"White Lilac (Katie Miranda), Agent II",,White Lilac (Katie Miranda),KY,17,RNA,-35000,,,10.2," 1/8",04/07/2024,3,105,
24,I,2022,,B,C,05/02/2022,Practical Joke,Flip the Switch,344,Discreet Cat,"Best A Luck Farm LLC, Agent III",,Best A Luck Farm LLC,MD,3,RNA,-95000,,,10.0," 1/8",04/07/2024,3,112,
25,I,2022,,DB/BR,F,04/25/2022,Echo Town,Flotus,345,Eskendereya,Grassroots Training & Sales LLC,,Grassroots Training & Sales LLC,KY,J,C.H.P.R.,15000,,,10.1," 1/8",04/07/2024,3,136,
26,I,2022,Freddie's Legacy,DB/BR,F,03/20/2022,Curlin's Honor,Foolhearted Woman,346,Uncaptured,"Rivera Training and Sales, Agent II",,Rivera Training and Sales,FL,6,Stephen Skaggs Agent/Averill Racing LLC,30000,Y,,10.0," 1/8",04/07/2024,2,76,
27,O,2022,,B,F,03/27/2022,Vino Rosso,Forest Uproar,347,Forest Wildcat,"de Meric Sales, Agent XXXIII",,de Meric Sales,FL,12,OUT,,,04/07/2024,,,,,,
28,I,2022,,B,F,04/27/2022,Gun Runner,Forest Valentine,348,Forestry,"de Meric Sales, Agent VIII",,de Meric Sales,KY,12,RNA,-475000,,,9.4," 1/8",04/07/2024,1,2,
