,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,filename,sale_year
1,1,0002,"Stony Point, Agent I ",,Guising,,DB/BR,Colt,Guising,Bernardini,Halloween Fun,,,,,Laura McKinney,55000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
2,1,0003,"Anderson Farms, Agent ",,Halo Again,,B,Colt,Halo Again,Speightstown,Halo's Verse,,,,,Winchell Thoroughbreds LLC,600000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
3,1,0004,"South Point Sales Agency, Agent XIV ",,Wasiyah,,CH,Filly,Wasiyah,Distorted Humor,Hangingbyamoment,,,,,Stacy Leppala,70000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
5,1,0006,"Hunter Valley Farm, Agent ",,American Code,,B,Colt,American Code,American Pharoah,Harmony Lodge,,,,,Byerley Racing,350000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
7,1,0008,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Marvelous Guy,,B,Colt,Marvelous Guy,Tapit,Havre de Grace,,,,,Mataichiro Yamamoto,550000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
9,1,0010,"Taylor Made Sales Agency, Agent CXLI ",,Tawreed,,CH,Filly,Tawreed,Speightstown,Hearty Laugh,,,,,"Shadwell Estate Company, Ltd.",450000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
10,1,0011,"Bedouin Bloodstock, Agent XI ",,Dark Lightning,,DB/BR,Filly,Dark Lightning,Speightstown,Heatherdoesntbluff,,,,,"Mike Ryan, Agent",310000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
11,1,0012,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,Oorah,,B,Colt,Oorah,Honor Code,Heir Worthy,,,,,Centennial Farms,375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
14,1,0015,"Paramount Sales, Agent XXIX ",,Moonhak War,,B,Colt,Moonhak War,Declaration of War,High Maintenance (GB),,,,,Pleasant Valley Farm,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
15,1,0016,"Taylor Made Sales Agency, Agent CXLI ",,Hit the Road,,B,Colt,Hit the Road,More Than Ready,Highway Mary,,,,,Radley Equine / Boomer Bloodstock,160000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
17,1,0018,"Taylor Made Sales Agency, Agent CXLI ",,Fashion Code,,DB/BR,Filly,Fashion Code,Honor Code,Holiday Fashion,,,,,"Bluewater Sales, Agent for Martin S. Schwartz",275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
18,1,0019,"Taylor Made Sales Agency, Agent CLXXXII ",,Hollow Rock,,CH,Filly,Hollow Rock,Speightstown,Holy Heavens,,,,,"Green Lantern Stables LLC, Patrick Masson, Agent",125000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
19,1,0020,"Taylor Made Sales Agency, Agent CXXVII ",,U S Pacific Fleet,,DB/BR,Colt,U S Pacific Fleet,War Front,Homebound,,,,,Hartley/De Renzo Thoroughbreds,725000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
20,1,0021,"Taylor Made Sales Agency, Agent CXXVII ",,Be All You Can Be,,B,Filly,Be All You Can Be,War Front,Homesteading,,,,,Hartley/De Renzo Thoroughbreds,275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
21,1,0022,"Taylor Made Sales Agency, Agent LXXIX ",,That's My Cue,,DB/BR,Filly,That's My Cue,Quality Road,Hondo's Way,,,,,"Kim Valerio, Agent",150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
23,1,0024,"Darby Dan Farm, Agent IV ",,U S S Colton,,B,Colt,U S S Colton,Speightstown,Honor Bestowed,,,,,Zoom and Fish USA LLC,175000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
26,1,0027,"Taylor Made Sales Agency, Agent LXXXIX ",,Harris Bay,,CH,Colt,Harris Bay,Carpe Diem,Hot Spa,,,,,Ted Sprinkle,170000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
27,1,0028,"Clarkland Farm, LLC ",,Hot Mist,,DB/BR,Filly,Hot Mist,Tonalist,Hot Stones,,,,,"L.E.B., Agent for West Point Thourghbreds",110000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
28,1,0029,"Taylor Made Sales Agency, Agent L ",,Peachy Keen,,CH,Colt,Peachy Keen,Will Take Charge,Humorous Miss,,,,,Lael Stable,325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
29,1,0030,"Gainesway, Agent XXV ",,Pitcher's Point,,DB/BR,Colt,Pitcher's Point,Medaglia d'Oro,Hungry Island,,,,,Godolphin,800000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
30,1,0031,"Bluegrass Thoroughbred Services Inc. (Sandy Stuart), Agent VI",,Moving Sun,,CH,Colt,Moving Sun,Karakontie (JPN),I Bet Toni Knows,,,,,Cromwell Bloodstock,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
31,1,0032,"James M. Herbener Jr., Agent I ",,Tok Tacker,,DB/BR,Colt,Tok Tacker,Uncle Mo,Ice Mint,,,,,Mataichiro Yamamoto,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
33,1,0034,"Blandford Stud (Padraig Campion), Agent ",,Elijah Ghost,,CH,Colt,Elijah Ghost,Ghostzapper,Ihavetogo,,,,,L&N Racing,130000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
34,1,0035,"Hill 'n' Dale Sales Agency, Agent ",,Bonding Time,,B,Colt,Bonding Time,Kitten's Joy,Imagistic,,,,,Godolphin Japan,210000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
35,1,0036,"Eaton Sales, Agent for William D. Graham (Windhaven Farms)",,Defeatsnotanoption,,DB/BR,Colt,Defeatsnotanoption,Honor Code,I'm Breathtaking,,,,,"Mike Ryan, Agent",400000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
37,1,0038,"Eaton Sales, Agent ",,Into Fancy,,GR/RO,Filly,Into Fancy,Into Mischief,I'm So Fancy,,,,,"Tom McCrocklin, Agent",100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
38,1,0039,"Taylor Made Sales Agency, Agent XXXVIII ",,Liam's Legend,,GR/RO,Colt,Liam's Legend,Liam's Map,Indian Legend,,,,,Pebble Farm,180000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
39,1,0040,"Burleson Farms, Agent ",,Ghost Game,,B,Colt,Ghost Game,Ghostzapper,Indian Princess,,,,,"Albaugh Family Stable, Kempton/Berkelhammer, Agent",325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
42,1,0043,"Hunter Valley Farm, Agent ",,Inis Gluaire,,DB/BR,Colt,Inis Gluaire,Bernardini,Inish Glora,,,,,Scott & Evan Dilworth LLC,275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
43,1,0044,"Denali Stud (Craig & Holly Bandoroff), Agent for Stonestreet Bred & Raised",,Wolfpack,,B,Colt,Wolfpack,Pioneerof the Nile,Inny Minnie,,,,,"SF Bloodstock, LLC/Starlight West",950000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
46,1,0047,"Paramount Sales, Agent LV ",,Clepat,,B,Filly,Clepat,American Pharoah,Intelyhente,,,,,J.S. Company,310000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
