Sire,foal_count,total_sales,median_price,variance_sales,gini_coef,years_active,avg_price,foals_per_year
Accelerate,73,4098000,33000.0,61771.09740100794,0.5230483296228697,4,56136.98630136986,18.25
Acclamation,1,1700,1700.0,,0.0,1,1700.0,1.0
Afleet Alex,8,277500,21000.0,37489.93912657483,0.5074324324324324,3,34687.5,2.6666666666666665
Aikenite,19,65300,2500.0,2731.3428781697576,0.3809140001611993,3,3436.842105263158,6.333333333333333
Air Force Blue,70,4037500,30000.0,81377.23196317001,0.6084935869084476,5,57678.57142857143,14.0
Airoforce,2,12000,6000.0,5656.85424949238,0.33333333333333326,1,6000.0,2.0
Albertus Maximus,1,20000,20000.0,,0.0,1,20000.0,1.0
Algorithms,24,489000,13000.0,24066.94016063638,0.5384798909338787,5,20375.0,4.8
Alliance,1,3500,3500.0,,0.0,1,3500.0,1.0
Alternation,21,370000,15000.0,10823.47536827331,0.3353925353925354,6,17619.04761904762,3.5
Always Dreaming,59,1977500,25000.0,36636.3732607946,0.4644110651610277,4,33516.94915254237,14.75
Americain,9,22900,1400.0,3021.6349511113644,0.4211547792333819,2,2544.4444444444443,4.5
American Freedom,55,1630000,22000.0,32712.617135675948,0.48803123257110986,4,29636.363636363636,13.75
American Guru,1,1000,1000.0,,0.0,1,1000.0,1.0
American Pharoah,302,83998000,200000.0,522862.1609931944,0.4988897165479657,7,278139.0728476821,43.142857142857146
Ami's Holiday,1,35000,35000.0,,0.0,1,35000.0,1.0
Anchor Down,29,941500,15000.0,49012.92304704712,0.5806947827201642,4,32465.51724137931,7.25
Animal Kingdom,64,1723700,12000.0,44527.69801344983,0.6360780950861519,4,26932.8125,16.0
Archarcharch,9,69500,8000.0,3961.6214413349044,0.2717825739408473,1,7722.222222222223,9.0
Army Mule,75,6591400,50000.0,102555.1726176239,0.5359783960918773,4,87885.33333333333,18.75
Arrogate,110,22966000,170000.0,166966.9737061509,0.42398565468320765,3,208781.81818181818,36.666666666666664
Artie Schiller,3,54700,11000.0,19200.607629273956,0.44241316270566733,2,18233.333333333332,1.5
Astern (AUS),32,1000700,20500.0,34956.25131572874,0.5195207105026481,5,31271.875,6.4
Astrology,2,263500,131750.0,181372.88937434944,0.48671726755218225,1,131750.0,2.0
Atreides,9,190500,12000.0,19072.23112276065,0.4590259550889473,1,21166.666666666668,9.0
Audible,126,13556500,75000.0,118230.29054846567,0.5011053094075998,3,107591.26984126984,42.0
Authentic,111,23091000,130000.0,205168.11109028078,0.4964587817647451,2,208027.02702702704,55.5
Awesome Again,24,1618500,28500.0,83975.83924014666,0.5910179178251468,3,67437.5,8.0
Awesome Patriot,1,2000,2000.0,,0.0,1,2000.0,1.0
Awesome Slew,1,16000,16000.0,,0.0,1,16000.0,1.0
Bal a Bali (BRZ),25,126800,4500.0,3681.430881238073,0.38996845425867505,2,5072.0,12.5
Basin,4,55000,13750.0,10251.016209787853,0.34545454545454546,1,13750.0,4.0
Bated Breath (GB),1,100000,100000.0,,0.0,1,100000.0,1.0
Battalion Runner,1,20000,20000.0,,0.0,1,20000.0,1.0
Battle of Midway,1,20000,20000.0,,0.0,1,20000.0,1.0
Bayern,65,4329200,32000.0,83371.08305872376,0.5859650743786382,4,66603.07692307692,16.25
Beau Liam,24,1615000,47500.0,72279.9383837149,0.5160216718266254,1,67291.66666666667,24.0
Bee Jersey,31,683000,10000.0,29800.98865358636,0.5710102489019033,4,22032.25806451613,7.75
Behesht (FR),2,12000,6000.0,2828.42712474619,0.16666666666666674,1,6000.0,2.0
Bellamy Road,2,17000,8500.0,4949.747468305833,0.2058823529411764,2,8500.0,1.0
Bernardini,164,17688500,65000.0,111837.94648398327,0.5309762716164629,6,107856.70731707317,27.333333333333332
Big Blue Kitten,27,158900,3500.0,10233.15515310231,0.5540405099876465,3,5885.185185185185,9.0
Big Brown,4,98000,19000.0,21439.838307848,0.3928571428571429,2,24500.0,2.0
