Unnamed: 0,Sire,breeding_year,Fee
0,Medaglia d'Oro,2016,2.0
1,Into Mischief,2016,2.0
2,Tapit,2016,2.0
3,American Pharoah,2016,2.0
4,Quality Road,2016,
5,No Nay Never,2016,2.0
6,Street Sense,2016,2.0
7,Uncle Mo,2016,2.0
8,Hard Spun,2016,2.0
9,Curlin,2016,2.0
10,More Than Ready,2016,
11,Ghostzapper,2016,
12,Bernardini,2016,2.0
13,Gun Runner,2016,2.0
14,Omaha Beach,2016,2.0
15,Frankel (GB),2016,2.0
16,Kitten's Joy,2016,2.0
17,Audible,2016,2.0
18,City of Light,2016,2.0
19,Justify,2016,2.0
20,Candy Ride (ARG),2016,2.0
21,War Front,2016,2.0
22,Speightstown,2016,2.0
23,Flatter,2016,2.0
24,Mendelssohn,2016,
25,Twirling Candy,2016,
26,Blame,2016,2.0
27,Constitution,2016,
28,Kantharos,2016,2.0
29,Connect,2016,2.0
30,Arrogate,2016,
31,Munnings,2016,
32,Bolt d'Oro,2016,2755000.0
33,Liam's Map,2016,2.0
34,Union Rags,2016,2.0
35,Nyquist,2016,
36,Violence,2016,
37,Catholic Boy,2016,
38,Preservationist,2016,2.0
39,Mitole,2016,
40,Galileo (IRE),2016,
41,Kingman (GB),2016,2.0
42,Cairo Prince,2016,
43,Practical Joke,2016,2.0
44,Vino Rosso,2016,
45,Not This Time,2016,2.0
46,Runhappy,2016,2.0
47,Wootton Bassett (GB),2016,2.0
48,Distorted Humor,2016,2.0
49,Good Magic,2016,2.0
50,Frosted,2016,2.0
51,Catalina Cruiser,2016,2.0
52,Maclean's Music,2016,2.0
53,Malibu Moon,2016,2.0
54,Tonalist,2016,
55,Caravaggio,2016,
56,Maximus Mischief,2016,2.0
57,Lemon Drop Kid,2016,
58,Calyx (GB),2016,2.0
59,West Coast,2016,2.0
60,Dialed In,2016,2.0
61,Collected,2016,
62,Study of Man (IRE),2016,2755000.0
63,Accelerate,2016,2.0
64,Midshipman,2016,2.0
65,Bated Breath (GB),2016,2.0
66,Classic Empire,2016,2.0
67,Upstart,2016,2.0
68,American Freedom,2016,2.0
69,Laoban,2016,2.0
70,Yoshida (JPN),2016,
71,Always Dreaming,2016,
72,Army Mule,2016,2.0
